model,file,seed,status,wall_time,error,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,dataset
AnomalyTransformer,173_GECCO_id_1_Sensor_tr_16165_1st_16265.csv,1337,success,64.9962375164032,,0.018715008844600884,0.31581219743476047,0.026992428699818573,0.4065308722470298,0.048591646516563065,0.5203252032520326,0.10526315789473666,0.023448644801748648,0.6174283423353842,GECCO
AnomalyTransformer,173_GECCO_id_1_Sensor_tr_16165_1st_16265.csv,17,success,64.98596286773682,,0.09623157206587625,0.4008638582900371,0.037961072001934874,0.4625020677953445,0.15233975540621675,0.5682289506428868,0.1454545454545453,0.038310594188018826,0.6190756940300066,GECCO
AnomalyTransformer,173_GECCO_id_1_Sensor_tr_16165_1st_16265.csv,2024,success,64.99293565750122,,0.039546570435245794,0.4156655972556985,0.042686641880456816,0.49710774636898464,0.11799392419355728,0.3829985987856142,0.07407407407407397,0.017229467339013503,0.6236288990585028,GECCO
AnomalyTransformer,173_GECCO_id_1_Sensor_tr_16165_1st_16265.csv,42,success,64.98416137695312,,0.028959695173011203,0.391034810443027,0.0351484448674366,0.4901708750079807,0.07056368520257696,0.3824626865671642,0.07414634146341453,0.016158071247208694,0.628029314492563,GECCO
AnomalyTransformer,187_Exathlon_id_14_Facility_tr_6193_1st_6293.csv,13,success,24.24822187423706,,0.13130427433802308,0.4145657768123862,0.13576080165156731,0.4224926651613694,0.22169515324888034,0.9974279835390947,0.8451882845188279,0.33185097180677925,0.9351013895850775,Exathlon
AnomalyTransformer,187_Exathlon_id_14_Facility_tr_6193_1st_6293.csv,1337,success,24.231144905090332,,0.18721863453281756,0.42590427624861227,0.19231948974001006,0.43720602367801287,0.22169515324888034,1.0,0.9999999999999996,0.3345633154627985,0.9740985781691277,Exathlon
AnomalyTransformer,187_Exathlon_id_14_Facility_tr_6193_1st_6293.csv,17,success,24.24226403236389,,0.26673313279566735,0.5238152670478939,0.2745229223846455,0.5314374665339894,0.2501200526690435,1.0,0.9999999999999996,0.3347298514288283,0.9979472577760046,Exathlon
AnomalyTransformer,187_Exathlon_id_14_Facility_tr_6193_1st_6293.csv,2024,success,24.236116886138916,,0.15875158669011333,0.43492806542380635,0.16536716516079766,0.44161625048053366,0.22169515324888034,1.0,0.9999999999999996,0.3347373468929493,0.9649064196487519,Exathlon
AnomalyTransformer,187_Exathlon_id_14_Facility_tr_6193_1st_6293.csv,42,success,24.406687021255493,,0.19165076833214378,0.48304614342469426,0.19955732746090213,0.49008712030000573,0.22169515324888034,0.9999140524280189,0.993377483443708,0.33373697117687734,0.978307098053983,Exathlon
AutoEncoder,002_MSL_id_1_Sensor_tr_500_1st_900.csv,13,success,0.3896198272705078,,0.2858658533031459,0.7068982779335203,0.1824614046097624,0.9096350464127981,0.42856806125094726,1.0,0.9999999999999996,0.5897435897435898,0.9991533864541826,MSL
AutoEncoder,002_MSL_id_1_Sensor_tr_500_1st_900.csv,1337,success,0.39049792289733887,,0.28471819513092744,0.6882258710452543,0.18941386520494122,0.905570496628767,0.42856806125094726,1.0,0.9999999999999996,0.5897435897435898,0.9991533864541826,MSL
AutoEncoder,002_MSL_id_1_Sensor_tr_500_1st_900.csv,17,success,0.38886022567749023,,0.28471819513092744,0.6882258710452543,0.1957773502329605,0.9053945278696046,0.42856806125094726,1.0,0.9999999999999996,0.5897435897435898,0.9991533864541826,MSL
